"110年07月27日 外資及陸資買賣超彙總表"
,,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","6781  ","AES-KY          ","108,800","40,000","68,800","0","0","0","108,800","40,000","68,800",
" ","8011  ","台通            ","431,000","363,000","68,000","0","0","0","431,000","363,000","68,000",
" ","910861","神州-DR         ","91,000","23,000","68,000","0","0","0","91,000","23,000","68,000",
" ","3356  ","奇偶            ","486,000","420,000","66,000","0","0","0","486,000","420,000","66,000",
" ","4977  ","眾達-KY         ","121,000","60,000","61,000","0","0","0","121,000","60,000","61,000",
" ",="038690","創意群益11購01  ","60,000","0","60,000","0","0","0","60,000","0","60,000",
" ","1616  ","億泰            ","136,000","76,000","60,000","0","0","0","136,000","76,000","60,000",
" ","1732  ","毛寶            ","161,000","103,000","58,000","0","0","0","161,000","103,000","58,000",
" ","1720  ","生達            ","119,000","63,000","56,000","0","0","0","119,000","63,000","56,000",
" ","8105  ","凌巨            ","652,000","596,000","56,000","0","0","0","652,000","596,000","56,000",
" ","2493  ","揚博            ","160,000","105,000","55,000","0","0","0","160,000","105,000","55,000",
" ","2849  ","安泰銀          ","97,000","43,000","54,000","0","0","0","97,000","43,000","54,000",
" ","8033  ","雷虎            ","86,000","32,000","54,000","0","0","0","86,000","32,000","54,000",
" ","8454  ","富邦媒          ","307,142","253,438","53,704","0","0","0","307,142","253,438","53,704",
" ","1434  ","福懋            ","995,000","943,000","52,000","0","0","0","995,000","943,000","52,000",
" ","1805  ","寶徠            ","60,000","8,000","52,000","0","0","0","60,000","8,000","52,000",
" ","3209  ","全科            ","257,000","206,000","51,000","0","0","0","257,000","206,000","51,000",
" ",="031068","聯詠元大0A購05  ","50,000","0","50,000","0","0","0","50,000","0","50,000",
" ",="089107","聯電國票0C購01  ","50,000","0","50,000","0","0","0","50,000","0","50,000",
" ",="0052  ","富邦科技        ","55,000","6,000","49,000","0","0","0","55,000","6,000","49,000",
" ","2546  ","根基            ","56,000","8,000","48,000","0","0","0","56,000","8,000","48,000",
" ","1307  ","三芳            ","119,000","73,000","46,000","0","0","0","119,000","73,000","46,000",
" ","911622","泰聚亨-DR       ","51,000","5,000","46,000","0","0","0","51,000","5,000","46,000",
" ","2537  ","聯上發          ","145,000","100,000","45,000","0","0","0","145,000","100,000","45,000",
" ","6214  ","精誠            ","152,000","107,000","45,000","0","0","0","152,000","107,000","45,000",
" ","6491  ","晶碩            ","569,000","525,604","43,396","0","0","0","569,000","525,604","43,396",
" ","2421  ","建準            ","130,000","86,813","43,187","0","0","0","130,000","86,813","43,187",
" ","6172  ","互億            ","50,000","7,000","43,000","0","0","0","50,000","7,000","43,000",
" ","1609  ","大亞            ","1,987,000","1,944,300","42,700","0","0","0","1,987,000","1,944,300","42,700",
" ","1525  ","江申            ","69,000","27,000","42,000","0","0","0","69,000","27,000","42,000",
" ","1730  ","花仙子          ","43,000","1,000","42,000","0","0","0","43,000","1,000","42,000",
" ","6277  ","宏正            ","45,000","3,000","42,000","0","0","0","45,000","3,000","42,000",
" ","1582  ","信錦            ","61,000","20,000","41,000","0","0","0","61,000","20,000","41,000",
" ",="088175","惠特元大09購01  ","40,000","0","40,000","0","0","0","40,000","0","40,000",
